Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-10-22,RELIANCE,EQ,2124.6,2127.4,2132.5,2091.0,2111.9,2106.95,2107.04,14215255,2995211511475000.0,391498,5836281,0.4106
2020-10-23,RELIANCE,EQ,2106.95,2106.0,2135.0,2096.4,2112.0,2113.05,2118.9,10809383,2290405363390000.0,265187,3551502,0.3286
2020-10-26,RELIANCE,EQ,2113.05,2101.95,2101.95,2018.5,2034.9,2029.1,2052.69,17225340,3535832255555000.5,581238,6324776,0.36719999999999997
2020-10-27,RELIANCE,EQ,2029.1,2034.9,2059.85,2005.0,2034.4,2034.5,2026.38,16835011,3411408850560000.0,462764,5199796,0.3089
2020-10-28,RELIANCE,EQ,2034.5,2041.8,2057.7,2007.4,2008.9,2011.45,2026.02,13810054,2797944235480000.0,413849,4822048,0.3492
2020-10-29,RELIANCE,EQ,2011.45,1997.0,2042.0,1991.0,2029.05,2026.9,2019.57,14147681,2857218590590000.0,382087,3346100,0.2365
2020-10-30,RELIANCE,EQ,2026.9,2033.5,2065.1,2021.8,2064.35,2054.5,2040.66,15701123,3204060725230000.0,349177,3880807,0.2472
2020-11-02,RELIANCE,EQ,2054.5,2027.0,2027.0,1859.15,1876.0,1877.45,1927.55,45857806,8839332014720000.0,1428490,12596880,0.2747
2020-11-03,RELIANCE,EQ,1877.45,1890.0,1909.0,1835.1,1854.5,1850.4,1873.92,40931170,7670176153914999.0,990935,11064654,0.27030000000000004
2020-11-04,RELIANCE,EQ,1850.4,1837.0,1929.0,1837.0,1910.5,1913.2,1893.24,37003111,7005565561420000.0,888904,6665864,0.1801
2020-11-05,RELIANCE,EQ,1913.2,1954.95,1960.95,1932.0,1956.8,1955.0,1949.03,17170274,3346529706550000.0,448665,5252804,0.3059
2020-11-06,RELIANCE,EQ,1955.0,1990.0,2040.0,1978.15,2025.0,2029.15,2015.72,30770080,6202388010420000.0,649196,8468704,0.2752
2020-11-09,RELIANCE,EQ,2029.15,2062.1,2069.0,2036.0,2051.0,2050.7,2051.91,16539467,3393750297420000.0,384188,6258441,0.37840000000000007
2020-11-10,RELIANCE,EQ,2050.7,2077.0,2090.0,2041.2,2089.0,2084.55,2071.86,17045147,3531516045080000.5,399073,6458474,0.3789
2020-11-11,RELIANCE,EQ,2084.55,2089.0,2095.0,1978.1,1999.8,1997.2,2027.8,26178477,5308461084515000.0,647679,9063191,0.3462
2020-11-12,RELIANCE,EQ,1997.2,1981.0,2008.45,1965.0,1981.75,1980.0,1987.14,18481466,3672521856260000.0,440630,6746860,0.3651
2020-11-13,RELIANCE,EQ,1980.0,1982.0,2036.65,1981.75,2000.05,1996.4,2007.38,20946864,4204826883165000.0,507695,5280992,0.2521
2020-11-14,RELIANCE,EQ,1996.4,2014.9,2015.3,1995.35,2001.55,2002.3,2005.96,2411900,483816382764999.94,99484,621485,0.2577
2020-11-17,RELIANCE,EQ,2002.3,2085.0,2085.0,1985.0,1994.8,1993.25,2013.16,21479385,4324136401515000.0,462630,5819797,0.27090000000000003
2020-11-18,RELIANCE,EQ,1993.25,1993.25,2006.5,1960.1,1991.2,1987.2,1979.95,14030652,2778002012045000.0,410607,3601706,0.25670000000000004
2020-11-19,RELIANCE,EQ,1987.2,1987.2,2010.45,1968.2,1972.0,1973.15,1987.24,12828008,2549228143330000.0,307890,3570924,0.2784
2020-11-20,RELIANCE,EQ,1973.15,1975.0,1983.8,1895.0,1901.0,1899.5,1923.27,26522972,5101082167260000.0,794436,7772176,0.29300000000000004
2020-11-23,RELIANCE,EQ,1899.5,1951.0,1970.0,1926.25,1955.2,1950.7,1952.18,20918665,4083704221985000.0,497781,5148955,0.2461
2020-11-24,RELIANCE,EQ,1950.7,1964.0,1974.0,1932.0,1971.05,1964.05,1952.11,14277083,2787043559960000.0,362587,3213843,0.22510000000000002
2020-11-25,RELIANCE,EQ,1964.05,1980.0,1992.95,1942.2,1947.5,1947.8,1969.06,15062376,2965874401565000.0,356793,3040444,0.20190000000000002
2020-11-26,RELIANCE,EQ,1947.8,1953.05,1965.0,1930.05,1957.0,1952.6,1946.67,11924527,2321309474390000.0,266412,3406506,0.2857
2020-11-27,RELIANCE,EQ,1952.6,1940.5,1956.1,1921.4,1940.5,1929.8,1935.45,21845931,4228163755275000.0,314085,12489338,0.5717
2020-12-01,RELIANCE,EQ,1929.8,1940.35,1966.25,1930.05,1954.1,1954.9,1950.09,9114939,1777497723084999.8,272346,3073957,0.3372
2020-12-02,RELIANCE,EQ,1954.9,1958.5,1962.0,1935.0,1959.0,1958.15,1947.77,10240168,1994546965925000.0,236641,3885070,0.37939999999999996
2020-12-03,RELIANCE,EQ,1958.15,1972.0,1981.1,1958.65,1960.8,1964.05,1969.94,12822945,2526037420680000.0,270788,6151159,0.4797
2020-12-04,RELIANCE,EQ,1964.05,1969.0,1969.0,1940.0,1947.7,1946.75,1948.72,8521388,1660576375895000.0,286109,3771228,0.4426
2020-12-07,RELIANCE,EQ,1946.75,1940.6,1965.0,1940.6,1958.35,1958.2,1955.62,8418767,1646389363345000.0,267040,3706525,0.4403
2020-12-08,RELIANCE,EQ,1958.2,1961.15,2014.25,1950.0,1992.45,1993.75,1995.12,20030506,3996322713360000.0,460158,5692600,0.2842
2020-12-09,RELIANCE,EQ,1993.75,2009.95,2033.8,1999.25,2026.0,2026.95,2019.89,13464375,2719656152030000.0,303801,4861192,0.36100000000000004
2020-12-10,RELIANCE,EQ,2026.95,2021.6,2028.5,2001.0,2008.0,2007.0,2010.18,7414229,1490394969580000.0,212910,2670339,0.3602
2020-12-11,RELIANCE,EQ,2007.0,2013.0,2038.0,1974.25,1999.4,2005.8,2015.5,12434745,2506218725795000.0,265002,3553151,0.2857
2020-12-14,RELIANCE,EQ,2005.8,2007.95,2015.0,1986.35,1993.5,1991.3,1997.46,7989830,1595936179030000.0,248928,2832392,0.35450000000000004
2020-12-15,RELIANCE,EQ,1991.3,1989.7,1989.7,1961.1,1973.6,1974.35,1973.54,8561406,1689627350860000.0,240918,3108604,0.36310000000000003
2020-12-16,RELIANCE,EQ,1974.35,1988.0,1994.95,1965.7,1977.55,1976.55,1977.57,8565904,1693966087095000.0,233001,3281219,0.38310000000000005
2020-12-17,RELIANCE,EQ,1976.55,1984.5,2005.0,1977.15,1985.5,1985.6,1989.37,9346460,1859355323680000.0,280068,3368996,0.3605
2020-12-18,RELIANCE,EQ,1985.6,1980.1,2004.9,1965.0,1998.1,1991.55,1981.58,8522215,1688743356945000.0,226069,3412555,0.4004
2020-12-21,RELIANCE,EQ,1991.55,2010.0,2022.0,1855.25,1935.0,1939.7,1976.82,20368545,4026489944800000.0,514099,5751990,0.2824
2020-12-22,RELIANCE,EQ,1939.7,1949.0,1958.9,1888.45,1935.0,1936.7,1921.8,12986606,2495765477030000.0,374827,3386829,0.2608
2020-12-23,RELIANCE,EQ,1936.7,1930.0,1951.45,1920.65,1947.0,1943.85,1938.16,8999898,1744323140330000.0,282444,3128219,0.34759999999999996
2020-12-24,RELIANCE,EQ,1943.85,1947.0,1998.8,1945.9,1992.95,1994.15,1976.2,9588577,1894896289570000.0,250116,2141157,0.2233
2020-12-28,RELIANCE,EQ,1994.15,2006.7,2018.0,1995.3,2002.0,2003.3,2006.71,7947719,1594877162010000.0,214898,1821777,0.22920000000000001
2020-12-29,RELIANCE,EQ,2003.3,2009.0,2012.3,1982.55,1987.0,1990.05,1992.97,8589407,1711841632630000.0,242433,3009732,0.3504
2020-12-30,RELIANCE,EQ,1990.05,1995.25,2007.2,1975.55,1994.35,1995.5,1991.6,10173132,2026078699834999.8,234486,3159950,0.3106
2020-12-31,RELIANCE,EQ,1995.5,1993.5,2011.9,1978.6,1981.8,1985.3,1995.67,8667516,1729750492130000.0,226094,2538214,0.2928
2021-01-01,RELIANCE,EQ,1985.3,1988.0,1997.0,1982.0,1988.0,1987.5,1989.5,4622002,919548029200000.0,139680,1013314,0.21920000000000003
2021-01-04,RELIANCE,EQ,1987.5,1995.1,1998.9,1968.0,1990.25,1990.85,1982.61,11312992,2242922785670000.0,316871,3869604,0.342
2021-01-05,RELIANCE,EQ,1990.85,1969.0,1983.6,1956.0,1965.0,1966.1,1968.87,11132803,2191901906284999.8,300233,5208047,0.4678
2021-01-06,RELIANCE,EQ,1966.1,1965.9,1966.0,1905.15,1915.5,1914.25,1928.17,21414270,4129036815315000.0,659284,9038101,0.42210000000000003
2021-01-07,RELIANCE,EQ,1914.25,1920.5,1945.0,1905.15,1912.8,1911.15,1919.86,14918406,2864126332110000.0,454695,6452659,0.4325
2021-01-08,RELIANCE,EQ,1911.15,1918.0,1938.4,1912.1,1934.0,1933.7,1923.06,12709792,2444175175265000.0,270966,5303550,0.4173
2021-01-11,RELIANCE,EQ,1933.7,1938.8,1938.8,1892.5,1899.0,1897.25,1910.26,15371556,2936370901300000.0,479137,7697815,0.5008
2021-01-12,RELIANCE,EQ,1897.25,1903.0,1960.0,1899.9,1955.5,1957.05,1935.51,18996047,3676698857555000.5,417387,8987850,0.4731
2021-01-13,RELIANCE,EQ,1957.05,1963.55,1974.95,1918.45,1936.0,1938.8,1948.25,12284876,2393403444775000.0,304901,4368602,0.3556
2021-01-14,RELIANCE,EQ,1938.8,1945.0,1966.9,1939.05,1958.1,1960.6,1957.17,9946818,1946765141234999.8,287671,5225648,0.5254
2021-01-15,RELIANCE,EQ,1960.6,1960.6,1973.8,1920.05,1937.9,1937.45,1952.72,9503790,1855820498820000.0,264152,3947767,0.4154
2021-01-18,RELIANCE,EQ,1937.45,1949.1,1997.0,1923.35,1972.8,1983.95,1967.71,16198856,3187468656455000.0,399642,6014603,0.3713
2021-01-19,RELIANCE,EQ,1983.95,1994.65,2031.0,1994.65,2015.0,2016.4,2018.21,14771048,2981111271620000.0,411707,6055057,0.40990000000000004
2021-01-20,RELIANCE,EQ,2016.4,2021.4,2058.0,2001.4,2053.0,2054.7,2036.58,14271669,2906533731585000.0,456106,6676332,0.4678
2021-01-21,RELIANCE,EQ,2054.7,2082.0,2120.0,2075.0,2107.0,2099.4,2102.61,18038987,3792896193460000.0,483168,6386636,0.354
2021-01-22,RELIANCE,EQ,2099.4,2111.0,2115.35,2035.15,2047.95,2049.6,2070.96,14090818,2918158256545000.0,388593,3512524,0.2493
2021-01-25,RELIANCE,EQ,2049.6,2034.95,2034.95,1932.0,1935.15,1941.0,1966.36,25016570,4919160245610000.0,723194,9041658,0.3614
2021-01-27,RELIANCE,EQ,1941.0,1925.0,1925.0,1888.0,1890.0,1895.0,1904.59,19553809,3724198044840000.0,637355,9587173,0.4903
2021-01-28,RELIANCE,EQ,1895.0,1880.15,1923.3,1870.0,1876.35,1876.55,1895.32,15722291,2979880609370000.0,446576,4697008,0.2987
2021-01-29,RELIANCE,EQ,1876.55,1894.3,1913.1,1830.0,1844.95,1841.95,1871.72,20173258,3775861233150000.0,472678,9106845,0.4514
2021-02-01,RELIANCE,EQ,1841.95,1859.4,1905.0,1848.0,1898.15,1895.3,1874.03,15774504,2956182067120000.0,370120,7864911,0.4986
2021-02-02,RELIANCE,EQ,1895.3,1914.25,1940.0,1854.95,1936.0,1925.8,1889.81,19138414,3616805285090000.0,561567,7369471,0.3851
2021-02-03,RELIANCE,EQ,1925.8,1928.3,1952.0,1900.0,1928.5,1930.65,1931.87,13984228,2701567344265000.0,345625,4832689,0.3456
2021-02-04,RELIANCE,EQ,1930.65,1924.0,1940.0,1905.0,1921.5,1924.3,1923.71,11826848,2275138175425000.0,332784,5411559,0.4576
2021-02-05,RELIANCE,EQ,1924.3,1930.05,1944.65,1920.0,1924.3,1923.75,1929.36,9344470,1802888326750000.0,263144,3564531,0.3815
2021-02-08,RELIANCE,EQ,1923.75,1933.05,1969.0,1929.05,1951.4,1951.45,1954.84,9776136,1911081669480000.0,287247,3553415,0.36350000000000005
2021-02-09,RELIANCE,EQ,1951.45,1961.95,1989.6,1952.3,1954.5,1956.15,1974.29,9047308,1786199411930000.0,254384,3417112,0.37770000000000004
2021-02-10,RELIANCE,EQ,1956.15,1953.75,1984.75,1927.3,1980.35,1974.3,1955.63,9799560,1916429238625000.0,288994,3630351,0.3705
2021-02-11,RELIANCE,EQ,1974.3,1980.0,2064.2,1972.25,2061.8,2055.7,2028.11,19631870,3981559403025000.0,546129,5981796,0.30469999999999997
2021-02-12,RELIANCE,EQ,2055.7,2055.5,2078.0,2015.4,2040.0,2041.6,2049.91,14074374,2885116393235000.0,369938,2446469,0.17379999999999998
2021-02-15,RELIANCE,EQ,2041.6,2048.05,2061.3,2025.0,2034.0,2032.6,2043.13,7287590,1488950230825000.0,222500,1339156,0.1838
2021-02-16,RELIANCE,EQ,2032.6,2039.75,2079.4,2035.0,2058.5,2059.5,2061.23,9886093,2037753733650000.0,274329,2429172,0.2457
2021-02-17,RELIANCE,EQ,2059.5,2060.0,2095.95,2050.6,2079.2,2083.25,2076.99,10957388,2275842334625000.0,257784,2784713,0.2541
2021-02-18,RELIANCE,EQ,2083.25,2085.0,2108.4,2059.1,2063.5,2067.7,2085.18,8605531,1794404524105000.0,228157,2460456,0.2859
2021-02-19,RELIANCE,EQ,2067.7,2057.0,2104.95,2053.3,2080.0,2080.3,2088.14,10800704,2255335663100000.0,279181,3029362,0.2805
2021-02-22,RELIANCE,EQ,2080.3,2080.0,2089.9,1994.95,1999.1,2008.1,2036.88,10985697,2237659986225000.0,309112,4112030,0.3743
2021-02-23,RELIANCE,EQ,2008.1,2048.0,2052.9,2013.6,2026.15,2023.45,2034.5,11834752,2407779576925000.0,275466,4422097,0.3737
2021-02-24,RELIANCE,EQ,2023.45,2030.0,2065.25,2026.15,2060.55,2061.0,2048.89,4987735,1021933013275000.0,135224,1950596,0.3911
2021-02-25,RELIANCE,EQ,2061.0,2076.0,2152.0,2073.0,2147.0,2144.35,2120.59,16085897,3411157508770000.0,452535,5714928,0.3553
2021-02-26,RELIANCE,EQ,2144.35,2117.0,2133.9,2070.7,2079.5,2085.8,2096.69,17297575,3626760192910000.0,489066,7330239,0.4238
2021-03-01,RELIANCE,EQ,2085.8,2110.2,2112.0,2062.5,2103.0,2101.7,2092.87,8159670,1707710115320000.0,266082,2970300,0.364
2021-03-02,RELIANCE,EQ,2101.7,2122.0,2130.0,2089.1,2108.0,2106.0,2107.78,7915073,1668325035850000.0,244565,2910860,0.3678
2021-03-03,RELIANCE,EQ,2106.0,2121.05,2219.9,2107.2,2207.1,2202.1,2161.54,14733134,3184621337025000.0,326092,6380700,0.43310000000000004
2021-03-04,RELIANCE,EQ,2202.1,2180.0,2189.95,2157.7,2174.0,2175.85,2175.57,9892597,2152207032090000.2,259806,3808559,0.385
2021-03-05,RELIANCE,EQ,2175.85,2156.0,2211.95,2153.05,2174.55,2178.7,2184.35,11773630,2571768512945000.0,312784,3896896,0.331
2021-03-08,RELIANCE,EQ,2178.7,2168.5,2231.9,2168.0,2193.0,2191.1,2205.66,9002404,1985624455330000.0,300037,2389286,0.26539999999999997
2021-03-09,RELIANCE,EQ,2191.1,2200.0,2213.8,2146.6,2190.55,2191.05,2181.47,6993792,1525673621560000.0,227932,2047400,0.2927
2021-03-10,RELIANCE,EQ,2191.05,2207.0,2215.1,2170.25,2179.4,2181.95,2187.67,5316182,1163007490215000.0,163700,1461484,0.2749
2021-03-12,RELIANCE,EQ,2181.95,2195.0,2206.4,2123.9,2136.9,2137.6,2160.6,7783173,1681634589925000.0,244889,2820317,0.3624
2021-03-15,RELIANCE,EQ,2137.6,2140.05,2148.9,2080.5,2105.0,2108.9,2103.37,7706302,1620919017560000.0,268696,3083696,0.40020000000000006
2021-03-16,RELIANCE,EQ,2108.9,2114.0,2126.0,2095.5,2100.75,2100.6,2107.19,6402757,1349184140475000.0,235823,2426737,0.379
2021-03-17,RELIANCE,EQ,2100.6,2098.05,2103.0,2035.1,2054.5,2055.35,2065.89,8865521,1831523317130000.0,241456,4179353,0.47140000000000004
2021-03-18,RELIANCE,EQ,2055.35,2072.9,2084.8,2001.0,2010.0,2009.1,2038.79,9528809,1942723115025000.0,295771,4198315,0.44060000000000005
2021-03-19,RELIANCE,EQ,2009.1,1991.0,2095.85,1982.8,2078.1,2082.0,2047.5,19284892,3948584025400000.0,431829,9334589,0.484
2021-03-22,RELIANCE,EQ,2082.0,2071.0,2074.0,2033.2,2061.0,2062.4,2050.93,8571196,1757896066630000.0,234534,2866751,0.3345
2021-03-23,RELIANCE,EQ,2062.4,2061.95,2109.7,2056.0,2079.9,2087.5,2086.63,8039865,1677618863465000.0,220527,2152080,0.2677
2021-03-24,RELIANCE,EQ,2087.5,2079.75,2079.75,2040.4,2048.55,2047.3,2055.87,7763726,1596121134555000.0,222445,2970460,0.3826
2021-03-25,RELIANCE,EQ,2047.3,2054.0,2054.0,1985.0,1993.95,1991.45,2011.25,10153757,2042174379045000.0,292881,4074888,0.40130000000000005
2021-03-26,RELIANCE,EQ,1991.45,2012.0,2013.7,1973.7,1994.0,1994.65,1995.09,9313160,1858055923090000.2,296946,3226521,0.3464
2021-03-30,RELIANCE,EQ,1994.65,2008.0,2048.9,1991.55,2031.9,2029.3,2026.44,9433850,1911714942175000.0,230499,3802211,0.40299999999999997
2021-03-31,RELIANCE,EQ,2029.3,2018.0,2049.9,1999.0,2005.65,2003.1,2017.21,7499740,1512852774525000.0,193340,2904680,0.3873
2021-04-01,RELIANCE,EQ,2003.1,2018.0,2030.0,2003.15,2020.0,2021.85,2017.89,5410307,1091741193875000.0,140946,1895300,0.3503
2021-04-05,RELIANCE,EQ,2021.85,2024.95,2025.0,1962.1,1992.0,1992.6,1986.24,6864856,1363523747550000.0,246459,2208186,0.32170000000000004
